Protein,Raw_Count,Harmonized_Count,IC_Raw,IC_Harmonized,Improvement_Pct,BP_Raw,BP_Harmonized,MF_Raw,MF_Harmonized,CC_Raw,CC_Harmonized,IC_BP_Raw,IC_BP_Harmonized,IC_MF_Raw,IC_MF_Harmonized,IC_CC_Raw,IC_CC_Harmonized
O15060,12,74,35.2881,160.9988,356.24,4,42,6,24,2,8,13.6594,86.5987,17.381,65.79,4.2477,8.6101
Q9NYQ8,14,36,61.4672,104.0434,69.27,6,11,1,7,7,18,33.8874,48.6569,4.0124,13.2353,23.5674,42.1512
URS0000EA941F_9606,2,13,6.1315,22.7048,270.3,1,8,0,0,1,5,3.0647,13.0601,0.0,0.0,3.0668,9.6447
URS00006509A9_9606,1,21,2.3593,33.3957,1315.46,1,21,0,0,0,0,2.3593,33.3957,0.0,0.0,0.0,0.0
O96007,8,34,44.3114,127.1557,186.96,2,13,3,8,3,13,17.1614,61.3393,13.2889,30.5892,13.8611,35.2273
URS0000EF3D77_9606,2,12,4.3508,11.2581,158.76,1,5,0,0,1,7,2.1591,4.9139,0.0,0.0,2.1917,6.3441
URS0002A2FC8C_9606,2,12,4.3508,11.2581,158.76,1,5,0,0,1,7,2.1591,4.9139,0.0,0.0,2.1917,6.3441
URS00006A0D74_9606,1,21,2.3593,33.3957,1315.46,1,21,0,0,0,0,2.3593,33.3957,0.0,0.0,0.0,0.0
URS0002538CB4_9606,2,12,4.3508,11.2581,158.76,1,5,0,0,1,7,2.1591,4.9139,0.0,0.0,2.1917,6.3441
URS0002676007_9606,2,10,4.0684,10.5183,158.53,0,0,1,3,1,7,0.0,0.0,2.0434,4.3409,2.025,6.1774
URS0001C6CC66_9606,2,10,4.0684,10.5183,158.53,0,0,1,3,1,7,0.0,0.0,2.0434,4.3409,2.025,6.1774
CPX-10312,1,6,4.6415,16.6544,258.81,0,0,0,0,1,6,0.0,0.0,0.0,0.0,4.6415,16.6544
URS0000EF3370_9606,2,13,6.1315,22.7048,270.3,1,8,0,0,1,5,3.0647,13.0601,0.0,0.0,3.0668,9.6447
URS00026A26A6_9606,1,26,4.2272,50.7496,1100.55,1,26,0,0,0,0,4.2272,50.7496,0.0,0.0,0.0,0.0
URS00006F167C_9606,2,12,4.3508,11.2581,158.76,1,5,0,0,1,7,2.1591,4.9139,0.0,0.0,2.1917,6.3441
Q9BT73,8,19,34.7271,46.3165,33.37,3,10,3,5,2,4,24.2805,34.2759,6.9853,8.0509,3.4612,3.9898
Q9NUX5,29,135,214.5007,621.7523,189.86,13,91,11,28,5,16,104.6902,400.2995,83.2173,167.6359,26.5933,53.8169
P62273,18,53,72.9122,147.8451,102.77,2,10,3,10,13,33,9.0298,19.4276,7.236,18.9899,56.6464,109.4276
P0DSN6,8,31,33.8778,98.4481,190.6,4,20,2,7,2,4,19.2261,66.2141,11.1946,28.2483,3.4571,3.9857
URS000068C891_9606,2,12,4.3508,11.2581,158.76,1,5,0,0,1,7,2.1591,4.9139,0.0,0.0,2.1917,6.3441
URS000015DE7D_9606,2,16,6.0993,26.6055,336.2,1,9,1,7,0,0,2.9648,13.3626,3.1345,13.2429,0.0,0.0
Q9HAS3,22,66,154.516,350.662,126.94,10,31,8,26,4,9,79.5095,169.5349,61.4788,156.5138,13.5276,24.6132
URS0002FDE6CC_9606,2,10,4.0684,10.5183,158.53,0,0,1,3,1,7,0.0,0.0,2.0434,4.3409,2.025,6.1774
Q8NGT2,8,29,26.6543,77.3915,190.35,4,19,2,6,2,4,14.7481,55.0078,8.4491,18.3981,3.4571,3.9857
Q96BM1,7,55,35.1141,184.0958,424.28,3,33,1,5,3,17,16.5259,121.724,5.6495,17.3637,12.9387,45.0081
Q96R08,9,31,32.5353,83.96,158.06,4,19,3,8,2,4,14.7481,55.0078,14.3301,24.9665,3.4571,3.9857
Q5HYK7,10,44,34.0643,108.1006,217.34,2,26,3,6,5,12,11.7216,76.3731,12.1588,15.7245,10.1839,16.003
URS0000201643_9606,2,26,5.4831,43.1538,687.03,1,21,0,0,1,5,2.3593,33.3957,0.0,0.0,3.1238,9.7582
Q96JE9,19,95,93.5869,327.8536,250.32,6,56,3,7,10,32,35.9127,210.1521,11.3035,20.7039,46.3708,96.9976
Q5MNZ6,18,76,108.5499,314.2863,189.53,8,46,6,17,4,13,54.7544,211.7522,32.208,65.8751,21.5875,36.6589
URS000072EF54_9606,2,12,4.3508,11.2581,158.76,1,5,0,0,1,7,2.1591,4.9139,0.0,0.0,2.1917,6.3441
Q8WVT3,18,65,91.9508,222.6235,142.11,8,41,1,3,9,21,55.5245,163.6903,1.0314,2.0969,35.3949,56.8363
CPX-7744,2,12,5.1622,26.3037,409.54,1,9,0,0,1,3,3.7055,24.3184,0.0,0.0,1.4567,1.9853
O94927,11,55,58.5946,196.3531,235.1,4,32,1,3,6,20,25.275,125.7363,1.0314,2.0969,32.2881,68.5199
CPX-2554,1,17,5.6562,50.3547,790.26,1,17,0,0,0,0,5.6562,50.3547,0.0,0.0,0.0,0.0
URS0002652FEF_9606,2,10,4.0684,10.5183,158.53,0,0,1,3,1,7,0.0,0.0,2.0434,4.3409,2.025,6.1774
CPX-26573,2,10,13.7602,27.4231,99.29,1,7,1,3,0,0,6.2781,13.4775,7.4821,13.9456,0.0,0.0
Q99788,27,121,142.4416,477.6015,235.3,18,99,7,18,2,4,96.3771,380.416,42.6074,93.1998,3.4571,3.9857
URS000015B295_9606,8,73,48.5067,267.8957,452.29,6,63,1,7,1,3,40.6674,247.1971,4.774,17.1048,3.0652,3.5938
Q9HD67,29,88,147.5828,315.6879,113.91,4,25,13,36,12,27,20.1318,80.8494,66.1519,140.3285,61.2991,94.5101
URS00007591A8_9606,2,10,4.0684,10.5183,158.53,0,0,1,3,1,7,0.0,0.0,2.0434,4.3409,2.025,6.1774
Q9ULX5,29,106,120.4141,329.0955,173.3,9,42,8,36,12,28,52.0009,137.1197,25.5365,110.8829,42.8767,81.0929
Q6QAJ8,2,6,2.4881,4.0822,64.07,0,0,1,3,1,3,0.0,0.0,1.0314,2.0969,1.4567,1.9853
A6NDR6,13,68,57.186,186.174,225.56,9,44,3,17,1,7,44.6086,129.9451,10.7926,50.0817,1.7848,6.1472
URS0000EABFA4_9606,1,21,2.3593,33.3957,1315.46,1,21,0,0,0,0,2.3593,33.3957,0.0,0.0,0.0,0.0
URS000067E5AD_9606,1,21,2.3593,33.3957,1315.46,1,21,0,0,0,0,2.3593,33.3957,0.0,0.0,0.0,0.0
URS00008C0B68_9606,1,28,5.8398,62.4293,969.02,1,28,0,0,0,0,5.8398,62.4293,0.0,0.0,0.0,0.0
URS0000145B37_9606,2,10,4.0684,10.5183,158.53,0,0,1,3,1,7,0.0,0.0,2.0434,4.3409,2.025,6.1774
URS00001018F1_9606,2,10,4.0684,10.5183,158.53,0,0,1,3,1,7,0.0,0.0,2.0434,4.3409,2.025,6.1774
A6NHC0,9,30,34.8884,67.6856,94.01,1,7,6,15,2,8,3.3403,9.7641,26.1003,48.1112,5.4479,9.8103
URS0002D074FC_9606,2,10,4.0684,10.5183,158.53,0,0,1,3,1,7,0.0,0.0,2.0434,4.3409,2.025,6.1774
Q9NVF7,11,46,40.4797,126.0229,211.32,3,24,3,8,5,14,15.0541,78.3748,9.6425,22.0442,15.7831,25.6039
CPX-7108,4,35,11.0967,63.698,474.03,1,15,2,13,1,7,2.6963,23.6377,6.6156,33.9131,1.7848,6.1472
URS00009DD709_9606,2,10,4.0684,10.5183,158.53,0,0,1,3,1,7,0.0,0.0,2.0434,4.3409,2.025,6.1774
URS00006F671A_9606,2,12,4.3508,11.2581,158.76,1,5,0,0,1,7,2.1591,4.9139,0.0,0.0,2.1917,6.3441
Q9UDW1,10,54,51.9907,201.7325,288.02,4,20,2,14,4,20,25.1749,81.0558,9.6121,58.6995,17.2036,61.9772
URS00007E427B_9606,2,26,5.4831,43.1538,687.03,1,21,0,0,1,5,2.3593,33.3957,0.0,0.0,3.1238,9.7582
Q9Y5P0,11,34,37.4735,94.9651,153.42,6,24,3,6,2,4,22.4376,72.5814,11.5788,18.3981,3.4571,3.9857
CPX-2381,3,31,15.4972,81.3498,424.93,1,15,1,9,1,7,6.6898,36.6062,7.0225,38.5963,1.7848,6.1472
Q06495,49,148,319.0798,713.5843,123.64,34,108,6,20,9,20,255.8043,566.545,27.5075,86.1054,35.768,60.9339
URS00025C79A7_9606,2,10,4.0684,10.5183,158.53,0,0,1,3,1,7,0.0,0.0,2.0434,4.3409,2.025,6.1774
URS00005902FF_9606,2,10,4.0684,10.5183,158.53,0,0,1,3,1,7,0.0,0.0,2.0434,4.3409,2.025,6.1774
Q9H4Z3,15,84,84.2744,271.2812,221.9,5,42,6,29,4,13,24.9979,96.4546,42.8122,147.9962,16.4643,26.8304
O60749,27,74,135.1094,273.9621,102.77,5,30,11,18,11,26,31.2015,116.1486,58.4177,80.5649,45.4902,77.2485
URS00000598CD_9606,2,10,4.0684,10.5183,158.53,0,0,1,3,1,7,0.0,0.0,2.0434,4.3409,2.025,6.1774
URS000075A143_9606,2,12,4.3508,11.2581,158.76,1,5,0,0,1,7,2.1591,4.9139,0.0,0.0,2.1917,6.3441
Q68D85,5,27,17.5894,72.0932,309.87,2,14,2,9,1,4,10.311,43.8841,5.2781,24.2234,2.0004,3.9857
URS0000AAF39E_9606,5,28,19.8465,69.3835,249.6,2,12,1,6,2,10,7.7596,28.1519,4.1048,12.8342,7.9821,28.3974
URS0000EB7C4A_9606,2,13,6.1315,22.7048,270.3,1,8,0,0,1,5,3.0647,13.0601,0.0,0.0,3.0668,9.6447
Q8WW59,3,11,6.0636,11.4915,89.52,0,0,1,3,2,8,0.0,0.0,1.0314,2.0969,5.0322,9.3946
Q9Y2T6,12,68,65.6592,262.0969,299.18,8,58,2,6,2,4,48.7739,234.7342,13.4282,23.3771,3.4571,3.9857
URS0000EB5012_9606,2,12,4.3508,11.2581,158.76,1,5,0,0,1,7,2.1591,4.9139,0.0,0.0,2.1917,6.3441
URS00008C1F55_9606,2,16,6.0993,26.6055,336.2,1,9,1,7,0,0,2.9648,13.3626,3.1345,13.2429,0.0,0.0
Q9UGJ0,33,183,178.6929,771.0417,331.49,14,113,12,48,7,22,82.293,514.0378,72.0548,194.9383,24.3451,62.0656
URS00006D507B_9606,2,12,4.3508,11.2581,158.76,1,5,0,0,1,7,2.1591,4.9139,0.0,0.0,2.1917,6.3441
Q9NWB6,15,75,55.1172,188.6005,242.18,5,45,5,13,5,17,21.4124,113.0975,17.31,37.391,16.3948,38.112
P54252,44,177,230.9386,695.4465,201.14,23,131,10,18,11,28,140.4282,533.4706,48.4571,73.3624,42.0532,88.6136
Q9H7R5,13,71,38.4562,147.7831,284.29,4,38,6,21,3,12,11.3183,73.1222,17.8672,55.0241,9.2707,19.6368
Q5TID7,13,57,70.8031,203.4691,187.37,5,30,1,6,7,21,30.0997,120.5166,4.9398,15.3717,35.7636,67.5808
URS0000765A46_9606,1,16,3.23,26.216,711.64,1,16,0,0,0,0,3.23,26.216,0.0,0.0,0.0,0.0
URS0001B50DE3_9606,2,10,4.0684,10.5183,158.53,0,0,1,3,1,7,0.0,0.0,2.0434,4.3409,2.025,6.1774
Q5VZV1,12,38,51.1655,119.7192,133.98,3,15,6,14,3,9,19.8399,56.4035,26.3624,53.99,4.9633,9.3257
Q01955,22,81,121.4018,325.5341,168.15,10,48,6,19,6,14,58.8692,189.9457,28.6741,76.8534,33.8585,58.735
Q9UNK0,24,87,121.1312,342.9286,183.11,5,40,6,21,13,26,30.361,155.2263,34.2986,100.415,56.4716,87.2872
URS0000631D89_9606,2,16,6.0993,26.6055,336.2,1,9,1,7,0,0,2.9648,13.3626,3.1345,13.2429,0.0,0.0
Q8IXQ6,45,207,235.4205,795.7881,238.03,24,153,14,41,7,13,137.9863,602.9708,80.7586,171.7793,16.6756,21.038
URS00008BCE52_9606,1,5,3.1238,9.7582,212.38,0,0,0,0,1,5,0.0,0.0,0.0,0.0,3.1238,9.7582
Q8N8Y2,18,96,93.9898,383.023,307.52,5,36,2,17,11,43,26.7891,132.9834,8.3593,76.3859,58.8414,173.6538
O75363,3,15,11.3156,38.4552,239.84,1,5,0,0,2,10,6.517,20.1043,0.0,0.0,4.7986,18.3509
URS00006DCB39_9606,2,16,6.0993,26.6055,336.2,1,9,1,7,0,0,2.9648,13.3626,3.1345,13.2429,0.0,0.0
A0A286YEU6,8,30,30.5349,81.9596,168.41,4,19,3,8,1,3,14.7481,55.0078,14.3301,24.9665,1.4567,1.9853
URS0000EED2BF_9606,2,16,6.0993,26.6055,336.2,1,9,1,7,0,0,2.9648,13.3626,3.1345,13.2429,0.0,0.0
URS000029D9F1_9606,27,180,166.2816,811.3189,387.92,24,169,2,8,1,3,153.4242,785.6021,9.7922,22.123,3.0652,3.5938
URS00021805F2_9606,2,12,4.3508,11.2581,158.76,1,5,0,0,1,7,2.1591,4.9139,0.0,0.0,2.1917,6.3441
A0A0K0K1B3,5,21,17.6953,48.3157,173.04,3,11,0,0,2,10,10.0718,20.6176,0.0,0.0,7.6236,27.6981
URS0001A50FF9_9606,2,10,4.0684,10.5183,158.53,0,0,1,3,1,7,0.0,0.0,2.0434,4.3409,2.025,6.1774
P48059,23,92,100.0321,285.0642,184.97,12,66,5,14,6,12,66.1794,217.1905,14.8626,35.414,18.9901,32.4597
URS0001AAAB5C_9606,2,10,4.0684,10.5183,158.53,0,0,1,3,1,7,0.0,0.0,2.0434,4.3409,2.025,6.1774
P36639,24,70,150.0779,295.7732,97.08,4,31,15,25,5,14,26.5678,131.3034,110.0261,136.4644,13.484,28.0054
URS00025571E1_9606,2,10,4.0684,10.5183,158.53,0,0,1,3,1,7,0.0,0.0,2.0434,4.3409,2.025,6.1774
URS000233809E_9606,2,26,5.4831,43.1538,687.03,1,21,0,0,1,5,2.3593,33.3957,0.0,0.0,3.1238,9.7582
CPX-10344,3,26,12.535,71.6024,471.22,2,16,1,10,0,0,7.3842,42.2283,5.1507,29.3741,0.0,0.0
URS000063B456_9606,2,12,4.3508,11.2581,158.76,1,5,0,0,1,7,2.1591,4.9139,0.0,0.0,2.1917,6.3441
Q8NC24,7,36,33.1664,108.9093,228.37,2,24,2,5,3,7,13.3152,78.1794,7.4574,11.9767,12.3938,18.7532
Q9H967,8,38,31.6577,94.7749,199.37,2,22,3,6,3,10,11.3193,63.9017,6.721,9.4601,13.6175,21.4131
CPX-5997,4,34,25.6916,119.0797,363.5,2,18,2,16,0,0,12.4766,55.3342,13.2149,63.7455,0.0,0.0
P06748,68,243,350.8465,988.4095,181.72,33,165,19,45,16,33,194.5522,694.1125,93.0583,188.3403,63.2361,105.9567
URS00007082D4_9606,2,16,6.0993,26.6055,336.2,1,9,1,7,0,0,2.9648,13.3626,3.1345,13.2429,0.0,0.0
URS0000297DC4_9606,2,16,6.0993,26.6055,336.2,1,9,1,7,0,0,2.9648,13.3626,3.1345,13.2429,0.0,0.0
URS00002034DC_9606,2,16,6.0993,26.6055,336.2,1,9,1,7,0,0,2.9648,13.3626,3.1345,13.2429,0.0,0.0
Q08174,11,30,40.6632,75.2431,85.04,4,14,2,9,5,7,17.7971,41.5941,8.1987,18.453,14.6674,15.196
URS0000688BBE_9606,1,21,2.3593,33.3957,1315.46,1,21,0,0,0,0,2.3593,33.3957,0.0,0.0,0.0,0.0
P22223,31,121,175.7427,525.1639,198.83,21,97,4,11,6,13,137.8613,457.5231,17.0136,29.2242,20.8678,38.4167
URS0002538338_9606,2,10,4.0684,10.5183,158.53,0,0,1,3,1,7,0.0,0.0,2.0434,4.3409,2.025,6.1774
URS0000564D66_9606,2,48,10.7156,126.0033,1075.88,1,41,1,7,0,0,5.9416,108.8985,4.774,17.1048,0.0,0.0
URS0000EF0334_9606,1,16,3.23,26.216,711.64,1,16,0,0,0,0,3.23,26.216,0.0,0.0,0.0,0.0
Q96LM5,1,3,1.0314,2.0969,103.31,0,0,1,3,0,0,0.0,0.0,1.0314,2.0969,0.0,0.0
Q502X0,6,27,19.0715,65.1817,241.78,2,11,1,3,3,13,7.4015,33.3095,1.0314,2.0969,10.6387,29.7753
Q9NY25,14,69,68.752,211.7149,207.94,8,51,2,6,4,12,38.9253,154.4676,11.194,19.4967,18.6327,37.7506
URS0000D5994F_9606,2,12,4.3508,11.2581,158.76,1,5,0,0,1,7,2.1591,4.9139,0.0,0.0,2.1917,6.3441
URS0000705743_9606,2,26,5.4831,43.1538,687.03,1,21,0,0,1,5,2.3593,33.3957,0.0,0.0,3.1238,9.7582
Q9NUY8,14,46,68.0551,151.8035,123.06,8,27,1,3,5,16,45.0627,106.4921,1.0314,2.0969,21.961,43.2145
P13232,25,156,139.3271,650.6278,366.98,17,136,5,14,3,6,102.3791,579.9488,26.6555,55.4837,10.2926,15.1953
URS0000D5B869_9606,1,10,6.8989,32.2374,367.28,1,10,0,0,0,0,6.8989,32.2374,0.0,0.0,0.0,0.0
CPX-6175,5,53,33.1276,195.6705,490.66,2,24,2,22,1,7,15.6299,102.8135,14.2504,85.2473,3.2474,7.6098
URS0002A56366_9606,2,12,4.3508,11.2581,158.76,1,5,0,0,1,7,2.1591,4.9139,0.0,0.0,2.1917,6.3441
URS0002311756_9606,2,26,5.4831,43.1538,687.03,1,21,0,0,1,5,2.3593,33.3957,0.0,0.0,3.1238,9.7582
CPX-2322,4,59,16.8882,158.7092,839.76,2,37,1,15,1,7,7.9696,81.8016,7.1338,70.7604,1.7848,6.1472
Q8WTT0,13,42,58.2441,139.6906,139.84,4,18,4,11,5,13,18.9602,68.8352,14.755,28.0071,24.529,42.8482
Q8TAI7,16,67,59.0648,209.1949,254.18,5,26,7,35,4,6,24.0615,81.5811,24.719,116.8009,10.2843,10.8128
URS0000649314_9606,2,12,4.3508,11.2581,158.76,1,5,0,0,1,7,2.1591,4.9139,0.0,0.0,2.1917,6.3441
Q6ZS81,5,23,20.4011,50.9751,149.86,2,8,1,3,2,12,11.0518,23.5838,1.0314,2.0969,8.3179,25.2943
P61086,21,129,107.0944,459.956,329.49,9,87,8,32,4,10,59.7246,333.9721,33.8794,108.1311,13.4904,17.8528
P06681,26,91,131.4484,326.3622,148.28,13,57,6,15,7,19,78.6852,225.8153,20.5461,41.7084,32.2171,58.8384
Q9BYD3,10,39,32.5926,91.3811,180.37,2,10,3,7,5,22,9.0711,19.4689,5.1597,9.8181,18.3618,62.0942
URS00006A0CF3_9606,1,21,2.3593,33.3957,1315.46,1,21,0,0,0,0,2.3593,33.3957,0.0,0.0,0.0,0.0
URS00008B9A70_9606,1,21,2.3593,33.3957,1315.46,1,21,0,0,0,0,2.3593,33.3957,0.0,0.0,0.0,0.0
Q6VMQ6,13,86,46.436,202.9803,337.12,5,58,4,15,4,13,18.8282,137.4643,15.0561,44.918,12.5516,20.598
Q15139,77,345,420.0547,1489.9958,254.71,49,277,16,43,12,25,303.0881,1259.9896,72.9275,155.0567,44.039,74.9496
P53618,26,59,121.9373,211.0692,73.1,6,19,2,4,18,36,31.0699,67.2534,2.9507,4.0163,87.9167,139.7995
URS000256D266_9606,1,5,6.7283,16.6833,147.96,1,5,0,0,0,0,6.7283,16.6833,0.0,0.0,0.0,0.0
URS0000DD6E97_9606,2,10,4.0684,10.5183,158.53,0,0,1,3,1,7,0.0,0.0,2.0434,4.3409,2.025,6.1774
URS00027EA8B1_9606,1,10,4.141,21.8101,426.69,1,10,0,0,0,0,4.141,21.8101,0.0,0.0,0.0,0.0
Q9HBG4,27,109,154.222,475.0657,208.04,9,39,3,19,15,51,56.9765,172.5601,14.5308,85.5593,82.7147,216.9464
Q96M43,1,3,1.8265,2.3551,28.94,0,0,0,0,1,3,0.0,0.0,0.0,0.0,1.8265,2.3551
URS000075D69B_9606,1,21,2.3593,33.3957,1315.46,1,21,0,0,0,0,2.3593,33.3957,0.0,0.0,0.0,0.0
URS0001BA70E9_9606,2,10,4.0684,10.5183,158.53,0,0,1,3,1,7,0.0,0.0,2.0434,4.3409,2.025,6.1774
Q14254,37,155,195.6478,593.1968,203.2,13,92,2,5,22,58,78.8282,357.7671,6.7499,10.8173,110.0696,224.6124
Q3KNW5,11,45,53.7813,196.7309,265.8,6,18,3,23,2,4,34.7683,76.2637,15.556,116.4815,3.4571,3.9857
A0A0J9YWU9,7,21,28.2589,64.8729,129.57,3,11,1,3,3,7,13.0447,45.256,5.0842,6.1497,10.13,13.4672
Q96EY5,26,108,137.5767,413.4936,200.56,12,70,4,8,10,30,84.5718,301.0886,15.8506,26.1089,37.1543,86.2962
O00116,15,46,71.2282,160.8757,125.86,3,11,6,15,6,20,16.0574,44.3745,29.3498,52.0353,25.821,64.4659
URS0000ECB976_9606,2,10,4.0684,10.5183,158.53,0,0,1,3,1,7,0.0,0.0,2.0434,4.3409,2.025,6.1774
P20749,37,158,175.8672,544.7935,209.78,22,129,7,13,8,16,112.4567,450.1491,29.1767,42.9613,34.2338,51.6832
Q13464,85,326,482.2975,1448.8163,200.4,58,255,14,37,13,34,361.8311,1209.1622,61.6492,125.198,58.8172,114.456
Q86YW0,24,62,124.5191,216.784,74.1,8,21,8,25,8,16,46.458,73.9282,47.9002,106.0006,30.1609,36.8553
Q8IZ07,8,42,45.2077,147.209,225.63,3,22,1,5,4,15,24.3558,94.1634,7.6644,21.4249,13.1876,31.6207
CPX-6203,10,95,56.5806,352.7316,523.41,4,70,4,19,2,6,24.5586,265.8698,20.7816,62.4423,11.2405,24.4195
P02810,3,7,6.9367,8.5308,22.98,0,0,1,3,2,4,0.0,0.0,1.0314,2.0969,5.9053,6.4339
URS00001E92A1_9606,2,16,6.0993,26.6055,336.2,1,9,1,7,0,0,2.9648,13.3626,3.1345,13.2429,0.0,0.0
URS0002A41ADD_9606,2,13,6.1315,22.7048,270.3,1,8,0,0,1,5,3.0647,13.0601,0.0,0.0,3.0668,9.6447
CPX-26451,1,15,5.0766,41.6645,720.71,1,15,0,0,0,0,5.0766,41.6645,0.0,0.0,0.0,0.0
URS0002A30A0C_9606,1,16,3.23,26.216,711.64,1,16,0,0,0,0,3.23,26.216,0.0,0.0,0.0,0.0
URS0000729058_9606,1,21,2.3593,33.3957,1315.46,1,21,0,0,0,0,2.3593,33.3957,0.0,0.0,0.0,0.0
